Beach Attributes,,,,,,,,,,,,,,,,,,,,,,,
EPA Office of Water,2/8/024,,,,,,,,,,,,,,,,,,,,,,
BEACH_ID,PRG_INT_CODE,BEACH_NAME,BEACH_COUNTY,BEACH_STATE,BEACH_TRIBE_CODE,HISTORICAL_ID_FLAG,BEACH_LEN_IN_MI,BEACH_LATEST_BEACH_YEAR,BEACH_ACCESS,OWNER_ACCESS,DORMANT_STATUS,START_LATITUDE_MEASURE,START_LONGITUDE_MEASURE,END_LATITUDE_MEASURE,END_LONGITUDE_MEASURE,SOURCE_MAP_SCALE,H_REREFENCE_DATUM_NAME,STATE_CONTACT_FIRST_NAME,STATE_CONTACT_LAST_NAME,STATE_CONTACT_AGENCY_NAME,STATE_CONTACT_TEL_NUMBER,STATE_CONTACT_URL,SOURCE_JOINKEY
AK103349,166918,Hoonah - Gartina Harbor Way Beach,HOONAH-ANGOON,AK,,N,0.43,2023,Public,Public,,58.104889,-135.450482,58.104968,-135.441105,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9BD-26FF-E063-42DE43865AE3}
AK103839,166649,Dock Point (Harbor Cove),VALDEZ-CORDOVA CENSUS AREA,AK,,N,0.189393939,2023,Public,Public,,61.127077,-146.337997,61.127887,-146.336387,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9AF-26FF-E063-42DE43865AE3}
AK105113,166796,Togiak Coastal Area,,AK,,N,3,2023,Public,Public,,59.054872,-160.336536,59.026509,-160.281781,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9B1-26FF-E063-42DE43865AE3}
AK111868,166695,Coast Guard Beach,,AK,,N,0.359848484,2023,Public,Public,,55.461788,-131.831008,55.457578,-131.833595,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9B3-26FF-E063-42DE43865AE3}
AK112346,166704,Earl West,WRANGELL-PETERSBURG,AK,,N,0.037878788,2023,Public,Public,,56.33993,-132.135589,56.340993,-132.133176,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9B5-26FF-E063-42DE43865AE3}
AK118287,165917,Juneau - Auke Recreation Area Beach,JUNEAU,AK,,N,0.95,2023,Public,Public,,58.374567,-134.730994,58.375183,-134.706431,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9B7-26FF-E063-42DE43865AE3}
AK125517,166789,Sweat Lodge Beach,,AK,,N,0.056818182,2023,Public,Public,,55.366486,-131.473744,55.365848,-131.474376,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9B9-26FF-E063-42DE43865AE3}
AK126287,166753,Outside Strait Reef,,AK,,N,0.227272727,2023,Public,Public,,55.342575,-160.538479,55.3428,-160.530823,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9BB-26FF-E063-42DE43865AE3}
AK140870,162753,Wrangell - City Park Beach,WRANGELL-PETERSBURG,AK,,N,0.17,2023,Public,Public,,56.45334,-132.3833,56.45108,-132.3815,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9BF-26FF-E063-42DE43865AE3}
AK145165,166777,Silver Beach,,AK,,N,0.056818182,2023,Public,Public,,57.608477,-152.408277,57.608432,-152.403207,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9C1-26FF-E063-42DE43865AE3}
AK149550,166726,Kivalina Beach,,AK,,N,8,2023,Public,Public,,67.693816,-164.414831,67.781022,-164.678313,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9C3-26FF-E063-42DE43865AE3}
AK149602,166651,Kasilof River Beach Reference 2,KENAI PENINSULA BOROUGH,AK,,N,0.1,2023,Public,Public,,60.3741,-151.30481,60.388013,-151.310835,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9C5-26FF-E063-42DE43865AE3}
AK153341,166736,Manokotak,DILLINGHAM,AK,,N,17,2023,Public,Public,,58.709743,-158.883587,58.494207,-158.701323,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9C7-26FF-E063-42DE43865AE3}
AK154949,166773,Shoemaker,WRANGELL-PETERSBURG,AK,,N,0.284090909,2023,Public,Public,,56.415955,-132.346474,56.413334,-132.341035,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C9C9-26FF-E063-42DE43865AE3}
AK164406,166843,Kenai River Gull Rookery 1,KENAI PENINSULA BOROUGH,AK,,N,0.12,2023,Public,Public,,60.552869,-151.248486,60.552814,-151.240639,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C3E3-26FF-E063-42DE43865AE3}
AK166789,166759,Port Krestof,,AK,,N,0.321969696,2023,Public,Public,,57.150115,-135.592614,57.147963,-135.597569,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C3EF-26FF-E063-42DE43865AE3}
AK168123,166574,Ketchikan - MtnPt Surprise Beach,KETCHICAN GATEWAY,AK,,N,0.14,2023,Public,Public,,55.293928,-131.549619,55.293989,-131.546518,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C3F1-26FF-E063-42DE43865AE3}
AK170777,166724,Kalsin Bay Beach,,AK,,N,1,2023,Public,Public,,57.601385,-152.470192,57.591838,-152.445217,,NAD83,Laura,Eldred,Department of Environmental Conservation,907-376-1855,http://dec.alaska.gov/water/water-quality/beach-program/,{127723E4-C3F3-26FF-E063-42DE43865AE3}
